Beta,Bin,Start,End,Count
0.5,1,-87.0,-86.06666666666666,1
0.5,2,-86.06666666666666,-85.13333333333334,0
0.5,3,-85.13333333333334,-84.2,1
0.5,4,-84.2,-83.26666666666667,0
0.5,5,-83.26666666666667,-82.33333333333333,8
0.5,6,-82.33333333333333,-81.4,0
0.5,7,-81.4,-80.46666666666667,0
0.5,8,-80.46666666666667,-79.53333333333333,0
0.5,9,-79.53333333333333,-78.6,8
0.5,10,-78.6,-77.66666666666667,0
0.5,11,-77.66666666666667,-76.73333333333333,0
0.5,12,-76.73333333333333,-75.8,0
0.5,13,-75.8,-74.86666666666667,14
0.5,14,-74.86666666666667,-73.93333333333334,0
0.5,15,-73.93333333333334,-73.0,0
0.5,16,-73.0,-72.06666666666666,3
0.5,17,-72.06666666666666,-71.13333333333333,0
0.5,18,-71.13333333333333,-70.2,10
0.5,19,-70.2,-69.26666666666667,0
0.5,20,-69.26666666666667,-68.33333333333333,1
0.5,21,-68.33333333333333,-67.4,0
0.5,22,-67.4,-66.46666666666667,3
0.5,23,-66.46666666666667,-65.53333333333333,0
0.5,24,-65.53333333333333,-64.6,0
0.5,25,-64.6,-63.66666666666667,0
0.5,26,-63.66666666666667,-62.733333333333334,0
0.5,27,-62.733333333333334,-61.8,0
0.5,28,-61.8,-60.86666666666667,0
0.5,29,-60.86666666666667,-59.93333333333334,0
0.5,30,-59.93333333333334,-59.0,1
1.0,1,-99.0,-98.73333333333333,11
1.0,2,-98.73333333333333,-98.46666666666667,0
1.0,3,-98.46666666666667,-98.2,0
1.0,4,-98.2,-97.93333333333334,0
1.0,5,-97.93333333333334,-97.66666666666667,0
1.0,6,-97.66666666666667,-97.4,0
1.0,7,-97.4,-97.13333333333334,0
1.0,8,-97.13333333333334,-96.86666666666666,0
1.0,9,-96.86666666666666,-96.6,0
1.0,10,-96.6,-96.33333333333333,0
1.0,11,-96.33333333333333,-96.06666666666666,0
1.0,12,-96.06666666666666,-95.8,0
1.0,13,-95.8,-95.53333333333333,0
1.0,14,-95.53333333333333,-95.26666666666667,0
1.0,15,-95.26666666666667,-95.0,0
1.0,16,-95.0,-94.73333333333333,34
1.0,17,-94.73333333333333,-94.46666666666667,0
1.0,18,-94.46666666666667,-94.2,0
1.0,19,-94.2,-93.93333333333334,0
1.0,20,-93.93333333333334,-93.66666666666667,0
1.0,21,-93.66666666666667,-93.4,0
1.0,22,-93.4,-93.13333333333334,0
1.0,23,-93.13333333333334,-92.86666666666667,1
1.0,24,-92.86666666666667,-92.6,0
1.0,25,-92.6,-92.33333333333333,0
1.0,26,-92.33333333333333,-92.06666666666666,0
1.0,27,-92.06666666666666,-91.8,0
1.0,28,-91.8,-91.53333333333333,0
1.0,29,-91.53333333333333,-91.26666666666667,0
1.0,30,-91.26666666666667,-91.0,4
5.0,1,-95.0,-94.46666666666667,7
5.0,2,-94.46666666666667,-93.93333333333334,0
5.0,3,-93.93333333333334,-93.4,0
5.0,4,-93.4,-92.86666666666666,0
5.0,5,-92.86666666666666,-92.33333333333333,0
5.0,6,-92.33333333333333,-91.8,0
5.0,7,-91.8,-91.26666666666667,0
5.0,8,-91.26666666666667,-90.73333333333333,18
5.0,9,-90.73333333333333,-90.2,0
5.0,10,-90.2,-89.66666666666667,0
5.0,11,-89.66666666666667,-89.13333333333334,0
5.0,12,-89.13333333333334,-88.6,0
5.0,13,-88.6,-88.06666666666666,0
5.0,14,-88.06666666666666,-87.53333333333333,0
5.0,15,-87.53333333333333,-87.0,0
5.0,16,-87.0,-86.46666666666667,21
5.0,17,-86.46666666666667,-85.93333333333334,0
5.0,18,-85.93333333333334,-85.4,0
5.0,19,-85.4,-84.86666666666667,0
5.0,20,-84.86666666666667,-84.33333333333333,0
5.0,21,-84.33333333333333,-83.8,0
5.0,22,-83.8,-83.26666666666667,0
5.0,23,-83.26666666666667,-82.73333333333333,2
5.0,24,-82.73333333333333,-82.2,0
5.0,25,-82.2,-81.66666666666667,0
5.0,26,-81.66666666666667,-81.13333333333333,0
5.0,27,-81.13333333333333,-80.6,0
5.0,28,-80.6,-80.06666666666666,0
5.0,29,-80.06666666666666,-79.53333333333333,0
5.0,30,-79.53333333333333,-79.0,2
10.0,1,-95.0,-94.46666666666667,6
10.0,2,-94.46666666666667,-93.93333333333334,0
10.0,3,-93.93333333333334,-93.4,0
10.0,4,-93.4,-92.86666666666666,1
10.0,5,-92.86666666666666,-92.33333333333333,0
10.0,6,-92.33333333333333,-91.8,0
10.0,7,-91.8,-91.26666666666667,0
10.0,8,-91.26666666666667,-90.73333333333333,18
10.0,9,-90.73333333333333,-90.2,0
10.0,10,-90.2,-89.66666666666667,0
10.0,11,-89.66666666666667,-89.13333333333334,0
10.0,12,-89.13333333333334,-88.6,2
10.0,13,-88.6,-88.06666666666666,0
10.0,14,-88.06666666666666,-87.53333333333333,0
10.0,15,-87.53333333333333,-87.0,0
10.0,16,-87.0,-86.46666666666667,20
10.0,17,-86.46666666666667,-85.93333333333334,0
10.0,18,-85.93333333333334,-85.4,0
10.0,19,-85.4,-84.86666666666667,1
10.0,20,-84.86666666666667,-84.33333333333333,0
10.0,21,-84.33333333333333,-83.8,0
10.0,22,-83.8,-83.26666666666667,0
10.0,23,-83.26666666666667,-82.73333333333333,1
10.0,24,-82.73333333333333,-82.2,0
10.0,25,-82.2,-81.66666666666667,0
10.0,26,-81.66666666666667,-81.13333333333333,0
10.0,27,-81.13333333333333,-80.6,0
10.0,28,-80.6,-80.06666666666666,0
10.0,29,-80.06666666666666,-79.53333333333333,0
10.0,30,-79.53333333333333,-79.0,1
15.0,1,-95.0,-94.6,4
15.0,2,-94.6,-94.2,0
15.0,3,-94.2,-93.8,0
15.0,4,-93.8,-93.4,0
15.0,5,-93.4,-93.0,0
15.0,6,-93.0,-92.6,0
15.0,7,-92.6,-92.2,0
15.0,8,-92.2,-91.8,0
15.0,9,-91.8,-91.4,0
15.0,10,-91.4,-91.0,0
15.0,11,-91.0,-90.6,19
15.0,12,-90.6,-90.2,0
15.0,13,-90.2,-89.8,0
15.0,14,-89.8,-89.4,0
15.0,15,-89.4,-89.0,0
15.0,16,-89.0,-88.6,0
15.0,17,-88.6,-88.2,0
15.0,18,-88.2,-87.8,0
15.0,19,-87.8,-87.4,0
15.0,20,-87.4,-87.0,0
15.0,21,-87.0,-86.6,21
15.0,22,-86.6,-86.2,0
15.0,23,-86.2,-85.8,0
15.0,24,-85.8,-85.4,0
15.0,25,-85.4,-85.0,0
15.0,26,-85.0,-84.6,0
15.0,27,-84.6,-84.2,0
15.0,28,-84.2,-83.8,0
15.0,29,-83.8,-83.4,0
15.0,30,-83.4,-83.0,6
20.0,1,-95.0,-94.6,5
20.0,2,-94.6,-94.2,0
20.0,3,-94.2,-93.8,0
20.0,4,-93.8,-93.4,0
20.0,5,-93.4,-93.0,0
20.0,6,-93.0,-92.6,2
20.0,7,-92.6,-92.2,0
20.0,8,-92.2,-91.8,0
20.0,9,-91.8,-91.4,0
20.0,10,-91.4,-91.0,0
20.0,11,-91.0,-90.6,28
20.0,12,-90.6,-90.2,0
20.0,13,-90.2,-89.8,0
20.0,14,-89.8,-89.4,0
20.0,15,-89.4,-89.0,0
20.0,16,-89.0,-88.6,1
20.0,17,-88.6,-88.2,0
20.0,18,-88.2,-87.8,0
20.0,19,-87.8,-87.4,0
20.0,20,-87.4,-87.0,0
20.0,21,-87.0,-86.6,10
20.0,22,-86.6,-86.2,0
20.0,23,-86.2,-85.8,0
20.0,24,-85.8,-85.4,0
20.0,25,-85.4,-85.0,0
20.0,26,-85.0,-84.6,1
20.0,27,-84.6,-84.2,0
20.0,28,-84.2,-83.8,0
20.0,29,-83.8,-83.4,0
20.0,30,-83.4,-83.0,3
