Step,Energy,Magnetization
0,-5,0
1000,-55,2
2000,-55,2
3000,-55,2
4000,-55,2
5000,-55,2
6000,-55,2
7000,-55,2
8000,-55,2
9000,-55,2
10000,-55,2
11000,-55,2
12000,-55,2
13000,-55,2
14000,-55,2
15000,-55,2
16000,-55,2
17000,-55,2
18000,-55,2
19000,-55,2
20000,-55,2
21000,-55,2
22000,-55,2
23000,-55,2
24000,-55,2
25000,-55,2
26000,-55,2
27000,-55,2
28000,-55,2
29000,-55,2
30000,-55,2
31000,-55,2
32000,-55,2
33000,-55,2
34000,-55,2
35000,-55,2
36000,-55,2
37000,-55,2
38000,-55,2
39000,-55,2
40000,-55,2
41000,-55,2
42000,-55,2
43000,-55,2
44000,-55,2
45000,-55,2
46000,-55,2
47000,-55,2
48000,-55,2
49000,-55,2
50000,-55,2
51000,-55,2
52000,-55,2
53000,-55,2
54000,-55,2
55000,-55,2
56000,-55,2
57000,-55,2
58000,-55,2
59000,-55,2
60000,-55,2
61000,-55,2
62000,-55,2
63000,-55,2
64000,-55,2
65000,-55,2
66000,-55,2
67000,-55,2
68000,-55,2
69000,-55,2
70000,-55,2
71000,-55,2
72000,-55,2
73000,-55,2
74000,-55,2
75000,-55,2
76000,-55,2
77000,-55,2
78000,-55,2
79000,-55,2
80000,-55,2
81000,-55,2
82000,-55,2
83000,-55,2
84000,-55,2
85000,-55,2
86000,-55,2
87000,-55,2
88000,-55,2
89000,-55,2
90000,-55,2
91000,-55,2
92000,-55,2
93000,-55,2
94000,-55,2
95000,-55,2
96000,-55,2
97000,-55,2
98000,-55,2
99000,-55,2
100000,-55,2
101000,-55,2
102000,-55,2
103000,-55,2
104000,-55,2
105000,-55,2
106000,-55,2
107000,-55,2
108000,-55,2
109000,-55,2
110000,-55,2
111000,-55,2
112000,-55,2
113000,-55,2
114000,-55,2
115000,-55,2
116000,-55,2
117000,-55,2
118000,-55,2
119000,-55,2
120000,-55,2
121000,-55,2
122000,-55,2
123000,-55,2
124000,-55,2
125000,-55,2
126000,-55,2
127000,-55,2
128000,-55,2
129000,-55,2
130000,-55,2
131000,-55,2
132000,-55,2
133000,-55,2
134000,-55,2
135000,-55,2
136000,-55,2
137000,-55,2
138000,-55,2
139000,-55,2
140000,-55,2
141000,-55,2
142000,-55,2
143000,-55,2
144000,-55,2
145000,-55,2
146000,-55,2
147000,-55,2
148000,-55,2
149000,-55,2
150000,-55,2
151000,-55,2
152000,-55,2
153000,-55,2
154000,-55,2
155000,-55,2
156000,-55,2
157000,-55,2
158000,-55,2
159000,-55,2
160000,-55,2
161000,-55,2
162000,-55,2
163000,-55,2
164000,-55,2
165000,-55,2
166000,-55,2
167000,-55,2
168000,-55,2
169000,-55,2
170000,-55,2
171000,-55,2
172000,-55,2
173000,-55,2
174000,-55,2
175000,-55,2
176000,-55,2
177000,-55,2
178000,-55,2
179000,-55,2
180000,-55,2
181000,-55,2
182000,-55,2
183000,-55,2
184000,-55,2
185000,-55,2
186000,-55,2
187000,-55,2
188000,-55,2
189000,-55,2
190000,-55,2
191000,-55,2
192000,-55,2
193000,-55,2
194000,-55,2
195000,-55,2
196000,-55,2
197000,-55,2
198000,-55,2
199000,-55,2
200000,-55,2
201000,-55,2
202000,-55,2
203000,-55,2
204000,-55,2
205000,-55,2
206000,-55,2
207000,-55,2
208000,-55,2
209000,-55,2
210000,-55,2
211000,-55,2
212000,-55,2
213000,-55,2
214000,-55,2
215000,-55,2
216000,-55,2
217000,-55,2
218000,-55,2
219000,-55,2
220000,-55,2
221000,-55,2
222000,-55,2
223000,-55,2
224000,-55,2
225000,-55,2
226000,-55,2
227000,-55,2
228000,-55,2
229000,-55,2
230000,-55,2
231000,-55,2
232000,-55,2
233000,-55,2
234000,-55,2
235000,-55,2
236000,-55,2
237000,-55,2
238000,-55,2
239000,-55,2
240000,-55,2
241000,-55,2
242000,-55,2
243000,-55,2
244000,-55,2
245000,-55,2
246000,-55,2
247000,-55,2
248000,-55,2
249000,-55,2
250000,-55,2
251000,-55,2
252000,-55,2
253000,-55,2
254000,-55,2
255000,-55,2
256000,-55,2
257000,-55,2
258000,-55,2
259000,-55,2
260000,-55,2
261000,-55,2
262000,-55,2
263000,-55,2
264000,-55,2
265000,-55,2
266000,-55,2
267000,-55,2
268000,-55,2
269000,-55,2
270000,-55,2
271000,-55,2
272000,-55,2
273000,-55,2
274000,-55,2
275000,-55,2
276000,-55,2
277000,-55,2
278000,-55,2
279000,-55,2
280000,-55,2
281000,-55,2
282000,-55,2
283000,-55,2
284000,-55,2
285000,-55,2
286000,-55,2
287000,-55,2
288000,-55,2
289000,-55,2
290000,-55,2
291000,-55,2
292000,-55,2
293000,-55,2
294000,-55,2
295000,-55,2
296000,-55,2
297000,-55,2
298000,-55,2
299000,-55,2
